// user:DESKTOP-0HM15HR_628165; date:2020-10-14 11:45:19.203; sample:3201; 
frequency[Hz]; amplitude[g RMS]; phase[°]; 
0.0; 0.0; 0.0; 
2; 0.0; 0.0; 
4; 0.00001; 0.0; 
6; 0.00006; 0.0; 
8; 0.00085; 0.0; 
10; 0.00186; 0.0; 
12; 0.00131; 0.0; 
14; 0.00082; 0.0; 
16; 0.00091; 0.0; 
18; 0.00049; 0.0; 
20; 0.00238; 0.0; 
22; 0.00137; 0.0; 
24; 0.00456; 0.0; 
26; 0.00474; 0.0; 
28; 0.00179; 0.0; 
30; 0.0014; 0.0; 
32; 0.00124; 0.0; 
34; 0.00192; 0.0; 
36; 0.00408; 0.0; 
38; 0.00529; 0.0; 
40; 0.04225; 0.0; 
42; 0.09304; 0.0; 
44; 0.04837; 0.0; 
46; 0.00102; 0.0; 
48; 0.005; 0.0; 
50; 0.01092; 0.0; 
52; 0.01058; 0.0; 
54; 0.00372; 0.0; 
56; 0.00228; 0.0; 
58; 0.00211; 0.0; 
60; 0.00225; 0.0; 
62; 0.00295; 0.0; 
64; 0.00152; 0.0; 
66; 0.00313; 0.0; 
68; 0.00326; 0.0; 
70; 0.00145; 0.0; 
72; 0.00278; 0.0; 
74; 0.00319; 0.0; 
76; 0.00395; 0.0; 
78; 0.00233; 0.0; 
80; 0.00153; 0.0; 
82; 0.01356; 0.0; 
84; 0.02663; 0.0; 
86; 0.01373; 0.0; 
88; 0.00042; 0.0; 
90; 0.00428; 0.0; 
92; 0.01; 0.0; 
94; 0.00622; 0.0; 
96; 0.00129; 0.0; 
98; 0.00068; 0.0; 
100; 0.00289; 0.0; 
102; 0.00813; 0.0; 
104; 0.00684; 0.0; 
106; 0.00265; 0.0; 
108; 0.00273; 0.0; 
110; 0.00507; 0.0; 
112; 0.01063; 0.0; 
114; 0.00912; 0.0; 
116; 0.00466; 0.0; 
118; 0.00337; 0.0; 
120; 0.0044; 0.0; 
122; 0.00541; 0.0; 
124; 0.0272; 0.0; 
126; 0.06418; 0.0; 
128; 0.0322; 0.0; 
