machine,point,time,max_dem,rms_dem
S4-61-M1,V-LOA-H,2020-10-13 16:36:35.662,2.1834,1.1422962860980923
S4-61-M1,V-LOA-H,2021-04-07 10:33:51.075,2.2318,1.0873658958463264
S4-61-M1,V-LOA-H,2019-10-15 17:36:40.675,2.0224,0.9417112247805357
S5-70-M1,M-LA-V,2020-10-15 09:51:20.794,0.4291,0.1924765689697532
S5-70-M1,M-LA-V,2021-04-07 11:30:32.545,1.3292,0.7432916052739071
S5-70-M1,M-LA-V,2019-10-15 16:45:17.472,0.92731,0.43019237765484575
S1-M11,M-LOA-V,2020-10-14 11:18:13.422,0.19216,0.09624957222000774
S1-M11,M-LOA-V,2021-04-06 15:58:03.250,0.19589,0.09129889465270433
S1-M11,M-LOA-V,2020-07-09 08:16:47.283,0.13546,0.07000230553239492
S1-M11,M-LOA-V,2019-07-16 09:55:25.665,0.24125,0.11922886342872524
S1-M11,M-LOA-V,2020-02-11 08:48:06.683,0.20036,0.08175539156485143
S1-M11,M-LOA-V,2020-04-28 09:43:47.754,0.22299,0.09819547002376365
S3-M06,V-LA-H,2020-02-11 12:14:22.355,1.8737,0.8610456492211082
S3-M06,V-LA-H,2021-04-06 10:48:59.044,2.0093,0.8463124318716192
S3-M06,V-LA-H,2020-10-14 08:14:24.254,1.8703,0.8174427416655731
S3-M06,V-LA-H,2020-07-09 10:37:22.118,2.0714,0.818194753889632
S3-M06,V-LA-H,2019-07-16 11:52:44.766,2.1363,0.9908219995581838
S3-M06,V-LA-H,2020-04-28 16:32:29.433,1.4838,0.7043527739290072
S4-61-M1,V-LOA-V,2020-10-13 16:36:46.741,2.1122,0.9562440270726066
S4-61-M1,V-LOA-V,2019-10-15 17:36:53.524,1.7117,0.7713193301507736
S4-61-M1,V-LOA-V,2021-04-07 10:34:00.844,1.9281,0.9702174721615866
S5-70-M1,V-LOA-V,2019-10-15 16:46:14.761,1.1185,0.49811821589683036
S5-70-M1,V-LOA-V,2021-04-07 11:31:23.204,3.2921,0.7515780445206397
S5-70-M1,V-LOA-V,2020-10-15 09:52:08.982,2.6801,1.0067808700459948
S2-M42,V-LOA-H,2020-04-28 16:13:17.605,1.7522,0.8184188809552192
S2-M42,V-LOA-H,2019-07-16 10:55:12.876,4.2099,1.8291489360702087
S2-M42,V-LOA-H,2019-11-26 17:07:01.767,2.1656,0.873075901178968
S2-M42,V-LOA-H,2020-02-11 11:02:37.014,1.4984,0.69762211855243
S2-M42,V-LOA-H,2021-04-06 12:51:29.664,1.5517,0.7939543627647104
S2-M42,V-LOA-H,2020-10-14 17:30:48.744,2.2726,0.9382152444245181
S2-M42,V-LOA-H,2019-06-18 12:55:48.536,4.3005,1.9965925247079521
S4-61-M1,V-LA-V,2021-04-07 10:33:38.875,3.1182,1.2935224721177923
S4-61-M1,V-LA-V,2020-10-13 16:36:23.232,4.0552,2.0113082491885264
S4-61-M1,V-LA-V,2019-10-15 17:36:21.739,2.1474,1.0334567421076832
S5-70-M1,M-LA-A,2019-10-15 16:45:27.661,0.19833,0.09453198086304665
S5-70-M1,M-LA-A,2021-04-07 11:30:40.303,0.36358,0.14479448399609002
S5-70-M1,M-LA-A,2020-10-15 09:51:30.493,0.21595,0.1003806888378151
S3-M06,V-LOA-V,2021-04-06 10:49:31.562,1.9669,0.8215023850554
S3-M06,V-LOA-V,2020-10-14 08:14:55.763,2.1119,0.9751973318796991
S3-M06,V-LOA-V,2020-04-28 16:33:00.534,1.4626,0.6910312756534414
S3-M06,V-LOA-V,2020-02-11 12:14:58.136,1.7878,0.8715173380847634
S3-M06,V-LOA-V,2019-07-16 11:53:30.584,3.0581,1.2324548644576867
S3-M06,V-LOA-V,2020-07-09 10:37:47.120,2.3032,0.9500054613658431
S5-70-M1,M-LOA-H,2019-10-15 16:44:44.092,0.35542,0.16091062844193357
S5-70-M1,M-LOA-H,2021-04-07 11:30:05.024,0.30634,0.14493050270629823
S5-70-M1,M-LOA-H,2020-10-15 09:50:51.093,0.27874,0.1388187648352217
S1-M11,V-LA-V,2019-07-16 09:56:29.000,2.632,1.1461374548197758
S1-M11,V-LA-V,2021-04-06 15:59:12.510,2.2201,1.0087254081300299
S1-M11,V-LA-V,2020-02-11 08:49:09.124,1.9955,0.9619665052784641
S1-M11,V-LA-V,2020-10-14 11:19:04.206,1.7572,0.8630942467112496
S1-M11,V-LA-V,2020-07-09 08:17:36.744,2.5855,1.0482469024297922
S1-M11,V-LA-V,2020-04-28 09:44:48.804,2.2097,1.0115056841142096
S4-61-M1,M-LA-H,2019-10-15 17:35:31.856,0.44614,0.19873927337625746
S4-61-M1,M-LA-H,2021-04-07 10:32:58.583,0.38556,0.16733244778639583
S4-61-M1,M-LA-H,2020-10-13 16:35:35.491,0.46486,0.20649106110488935
S2-M42,V-LA-H,2019-06-18 12:55:24.096,2.8668,1.3635434620905462
S2-M42,V-LA-H,2020-04-28 16:12:57.523,2.5101,1.1889549926747365
S2-M42,V-LA-H,2020-10-14 17:30:26.225,2.7418,1.3788568648540305
S2-M42,V-LA-H,2019-11-26 17:06:35.716,2.0143,0.8402805878464389
S2-M42,V-LA-H,2019-07-16 10:54:46.684,3.1849,1.3989348170673443
S2-M42,V-LA-H,2020-02-11 11:02:15.604,1.4073,0.5511246732990324
S2-M42,V-LA-H,2021-04-06 12:50:56.253,1.9178,0.7994859655255059
S4-61-M1,V-LA-H,2021-04-07 10:33:28.154,3.5014,1.5616617365682552
S4-61-M1,V-LA-H,2019-10-15 17:36:11.256,2.4115,1.101268819456449
S4-61-M1,V-LA-H,2020-10-13 16:36:12.482,4.3251,1.9409347521614615
S5-70-M1,V-LA-V,2020-10-15 09:51:49.734,2.0103,0.7447233427862762
S5-70-M1,V-LA-V,2021-04-07 11:30:59.934,1.4871,0.4926750286819187
S5-70-M1,V-LA-V,2019-10-15 16:45:50.500,1.5509,0.6105198307837598
S1-M11,M-LA-H,2019-07-16 09:55:35.315,0.8826,0.42759604839007787
S1-M11,M-LA-H,2020-07-09 08:16:56.327,0.79641,0.39159920362856215
S1-M11,M-LA-H,2020-04-28 09:44:04.343,0.69121,0.3500196931902011
S1-M11,M-LA-H,2021-04-06 15:58:16.151,0.5667,0.2696708739674355
S1-M11,M-LA-H,2020-02-11 08:48:21.804,0.75362,0.3800209605266345
S1-M11,M-LA-H,2020-10-14 11:18:25.594,0.79135,0.36247359243554167
S3-M06,M-LA-A,2020-02-11 12:14:11.424,0.44358,0.1998607530052126
S3-M06,M-LA-A,2020-07-09 10:37:14.120,0.35403,0.17384574174734974
S3-M06,M-LA-A,2020-10-14 08:14:12.593,0.34774,0.15448889965298376
S3-M06,M-LA-A,2020-04-28 16:32:17.953,0.32629,0.16473533307118968
S3-M06,M-LA-A,2019-07-16 11:52:32.039,0.29973,0.15258737483657825
S3-M06,M-LA-A,2021-04-06 10:48:48.518,0.4192,0.19615026178845923
S5-70-M1,M-LA-H,2019-10-15 16:45:06.252,1.3364,0.6874809587390862
S5-70-M1,M-LA-H,2021-04-07 11:30:24.414,1.3693,0.7507181091378045
S5-70-M1,M-LA-H,2020-10-15 09:51:12.055,0.70236,0.30355275037314156
S4-61-M1,M-LOA-H,2019-10-15 17:35:03.885,0.94444,0.4580014142191546
S4-61-M1,M-LOA-H,2020-10-13 16:35:11.321,0.84059,0.3908643369249243
S4-61-M1,M-LOA-H,2021-04-07 10:32:41.175,0.83424,0.41643827277564116
S5-70-M1,V-LA-H,2019-10-15 16:45:39.641,1.0692,0.46051909801799057
S5-70-M1,V-LA-H,2021-04-07 11:30:49.744,1.5927,0.4581741052780936
S5-70-M1,V-LA-H,2020-10-15 09:51:41.104,3.609,0.881882534024986
S2-M42,M-LA-H,2019-07-16 10:54:03.995,0.89817,0.4681873021398372
S2-M42,M-LA-H,2020-02-11 11:01:45.002,0.94152,0.4735960304927383
S2-M42,M-LA-H,2019-11-26 17:05:56.486,1.5442,0.7970586892796547
S2-M42,M-LA-H,2020-04-28 16:12:17.854,1.0855,0.5577223237879421
S2-M42,M-LA-H,2020-10-14 17:29:56.774,0.66182,0.3183081325130216
S2-M42,M-LA-H,2021-04-06 12:50:19.923,0.67121,0.3233404400675777
S2-M42,M-LA-H,2019-06-18 12:54:49.505,0.86243,0.4091444360176252
S4-61-M1,M-LOA-V,2019-10-15 17:35:16.762,0.88473,0.4579279071480855
S4-61-M1,M-LOA-V,2020-10-13 16:35:23.231,0.75112,0.40223342725638994
S4-61-M1,M-LOA-V,2021-04-07 10:32:49.624,0.62617,0.31957920265273515
S3-M06,M-LOA-V,2021-04-06 10:48:20.086,0.34204,0.16998892506121602
S3-M06,M-LOA-V,2020-07-09 10:36:46.714,0.37283,0.16190169062998774
S3-M06,M-LOA-V,2020-02-11 12:13:40.324,0.55969,0.27967208205016286
S3-M06,M-LOA-V,2019-07-16 11:51:41.704,0.38527,0.18186089657994917
S3-M06,M-LOA-V,2020-10-14 08:13:36.903,0.40098,0.20320669872178473
S3-M06,M-LOA-V,2020-04-28 16:31:46.608,0.27148,0.14337469047382337
S5-70-M1,V-LOA-A,2019-10-15 16:46:28.401,0.45963,0.2291952506939945
S5-70-M1,V-LOA-A,2020-10-15 09:52:18.960,2.5966,0.9078508918484467
S5-70-M1,V-LOA-A,2021-04-07 11:31:37.124,1.1487,0.34262639772493997
S1-M11,M-LA-V,2019-07-16 09:55:48.825,0.71945,0.3737569857268637
S1-M11,M-LA-V,2020-04-28 09:44:16.435,0.86613,0.4040990454539103
S1-M11,M-LA-V,2020-10-14 11:18:35.633,0.69695,0.3262124207645374
S1-M11,M-LA-V,2021-04-06 15:58:28.621,0.63249,0.32758982639415624
S1-M11,M-LA-V,2020-02-11 08:48:33.883,0.92586,0.45599246846586255
S1-M11,M-LA-V,2020-07-09 08:17:08.003,1.2976,0.6125930060008892
S4-61-M1,V-LOA-A,2019-10-15 17:37:04.805,1.3124,0.6115873364899619
S4-61-M1,V-LOA-A,2021-04-07 10:34:12.114,1.0192,0.5041062382741381
S4-61-M1,V-LOA-A,2020-10-13 16:36:59.201,1.3191,0.6614071946792006
S5-70-M1,M-LOA-V,2020-10-15 09:51:01.904,0.30897,0.13944184608591068
S5-70-M1,M-LOA-V,2021-04-07 11:30:13.784,0.30353,0.14176832516947405
S5-70-M1,M-LOA-V,2019-10-15 16:44:54.622,0.36849,0.1690097399388301
S2-M42,M-LA-V,2020-04-28 16:12:36.894,1.1886,0.5954259545261843
S2-M42,M-LA-V,2019-11-26 17:06:10.304,1.3103,0.5993728317800601
S2-M42,M-LA-V,2019-06-18 12:55:01.246,1.0119,0.5305941077187075
S2-M42,M-LA-V,2020-02-11 11:01:53.474,1.1894,0.6104660827600321
S2-M42,M-LA-V,2019-07-16 10:54:16.405,1.392,0.665294492884182
S2-M42,M-LA-V,2021-04-06 12:50:30.294,1.1223,0.507321753401654
S2-M42,M-LA-V,2020-10-14 17:30:07.275,1.2519,0.5341566002433331
S4-61-M1,M-LA-A,2019-10-15 17:35:55.739,1.2832,0.425532615055539
S4-61-M1,M-LA-A,2020-10-13 16:35:56.732,0.47753,0.24548455518280735
S4-61-M1,M-LA-A,2021-04-07 10:33:15.474,0.44245,0.21073537282074756
S5-70-M1,V-LOA-H,2021-04-07 11:31:11.273,4.0152,0.6071667680123828
S5-70-M1,V-LOA-H,2020-10-15 09:52:00.324,3.4254,1.2159796073309599
S5-70-M1,V-LOA-H,2019-10-15 16:46:02.820,0.90761,0.38036899560233667
S3-M06,V-LOA-H,2019-07-16 11:53:17.156,2.4632,1.0335950206086375
S3-M06,V-LOA-H,2020-02-11 12:14:45.684,1.7741,0.8509317545677165
S3-M06,V-LOA-H,2021-04-06 10:49:21.221,2.3931,0.864777253369151
S3-M06,V-LOA-H,2020-04-28 16:32:51.764,1.5783,0.7052533496443709
S3-M06,V-LOA-H,2020-07-09 10:37:39.014,1.8871,0.814328302113859
S3-M06,V-LOA-H,2020-10-14 08:14:45.325,2.366,0.9838344684996496
S1-M11,V-LOA-V,2020-02-11 08:49:33.864,2.2973,0.9873934560166255
S1-M11,V-LOA-V,2019-07-16 09:56:59.246,2.9024,1.2303069340165318
S1-M11,V-LOA-V,2020-07-09 08:18:02.294,2.7882,1.161500242359727
S1-M11,V-LOA-V,2020-10-14 11:19:29.754,2.7026,1.2254740072088044
S1-M11,V-LOA-V,2020-04-28 09:45:12.405,2.2346,1.0450441484778281
S1-M11,V-LOA-V,2021-04-06 15:59:34.811,2.485,1.1801498329392328
S4-61-M1,M-LA-V,2021-04-07 10:33:07.039,0.67615,0.2694867266126922
S4-61-M1,M-LA-V,2019-10-15 17:35:44.065,0.54676,0.30082845106397615
S4-61-M1,M-LA-V,2020-10-13 16:35:46.412,0.53763,0.2613030421276449
S5-66-M2,M-LA-V,2021-04-07 11:17:54.174,1.3909,0.5235901598665176
S5-66-M2,M-LA-V,2019-10-15 16:31:24.571,0.86893,0.3859419326184772
S5-66-M2,M-LA-V,2020-10-15 09:38:47.544,0.90408,0.3382744865773363
S2-M42,V-LOA-V,2020-04-28 16:13:26.684,1.5889,0.7161062826523658
S2-M42,V-LOA-V,2019-11-26 17:07:14.343,2.3628,0.9208286871109822
S2-M42,V-LOA-V,2020-02-11 11:02:48.813,1.398,0.6775627319159602
S2-M42,V-LOA-V,2020-10-14 17:31:01.384,3.2694,1.303352843886997
S2-M42,V-LOA-V,2019-07-16 10:55:28.496,4.545,1.7018221501778388
S2-M42,V-LOA-V,2019-06-18 12:56:00.396,4.595,1.9432550690588424
S2-M42,V-LOA-V,2021-04-06 12:51:39.445,2.0683,1.0381074003611517
S5-66-M2,V-LOA-H,2019-10-15 16:32:34.941,1.1983,0.5244716128008007
S5-66-M2,V-LOA-H,2021-04-07 11:18:34.004,2.1229,0.7841444988245769
S5-66-M2,V-LOA-H,2020-10-15 09:39:29.404,2.2138,0.9615902331969511
S4-71-M2,M-LOA-H,2020-02-11 13:18:27.838,0.5127,0.2094583915668618
S4-71-M2,M-LOA-H,2020-10-13 15:56:04.041,0.34566,0.16227827011016638
S4-71-M2,M-LOA-H,2021-04-07 09:54:43.954,0.34799,0.14329911799492834
S4-71-M2,M-LOA-H,2019-10-15 16:52:36.104,1.3112,0.535264476786539
S4-71-M2,M-LOA-H,2019-12-03 16:53:01.315,2.0734,0.9509529535686474
S3-M06,V-LA-V,2020-04-28 16:32:39.835,1.3999,0.6451886156333004
S3-M06,V-LA-V,2020-02-11 12:14:33.875,2.093,0.9765489942443116
S3-M06,V-LA-V,2020-07-09 10:37:30.374,1.8308,0.8363543703970001
S3-M06,V-LA-V,2021-04-06 10:49:09.020,1.6389,0.7831275479909363
S3-M06,V-LA-V,2019-07-16 11:52:59.194,2.1633,0.9558506858411946
S3-M06,V-LA-V,2020-10-14 08:14:33.663,1.6508,0.8390106282275785
S5-66-M2,M-LOA-V,2019-10-15 16:31:03.621,0.31791,0.15631684297221046
S5-66-M2,M-LOA-V,2021-04-07 11:17:35.064,0.32308,0.15980290889097162
S5-66-M2,M-LOA-V,2020-10-15 09:38:30.524,0.28551,0.13305026192887537
S1-M11,V-LOA-A,2019-07-16 09:57:13.666,1.8304,0.7559243044557704
S1-M11,V-LOA-A,2020-07-09 08:18:11.643,1.3367,0.5584664868442661
S1-M11,V-LOA-A,2020-04-28 09:45:23.374,1.5259,0.618239613599127
S1-M11,V-LOA-A,2021-04-06 15:59:45.901,1.2516,0.5207825080638757
S1-M11,V-LOA-A,2020-02-11 08:49:46.533,1.0507,0.4870602841248085
S1-M11,V-LOA-A,2020-10-14 11:19:39.353,1.2284,0.589082180881855
S4-71-M2,M-LOA-V,2019-10-15 16:52:45.705,1.6626,0.6586708891570787
S4-71-M2,M-LOA-V,2020-10-13 15:56:14.481,0.36966,0.16102102073445404
S4-71-M2,M-LOA-V,2021-04-07 09:54:53.475,0.44042,0.12633316608894637
S4-71-M2,M-LOA-V,2020-02-11 13:18:37.344,0.24028,0.102730717947527
S4-71-M2,M-LOA-V,2019-12-03 16:53:10.904,2.5504,1.2856730335356854
S5-66-M2,M-LOA-H,2021-04-07 11:17:26.403,0.51539,0.20845306292070834
S5-66-M2,M-LOA-H,2019-10-15 16:30:53.072,0.38173,0.17736319168434067
S5-66-M2,M-LOA-H,2020-10-15 09:38:22.028,0.36003,0.16838618454986
S2-M42,M-LA-A,2019-07-16 10:54:33.826,0.57163,0.29622630704507347
S2-M42,M-LA-A,2021-04-06 12:50:45.013,0.2184,0.0953984556369496
S2-M42,M-LA-A,2020-02-11 11:02:04.753,0.1261,0.05705523720870227
S2-M42,M-LA-A,2019-11-26 17:06:22.817,0.30379,0.1160997661579744
S2-M42,M-LA-A,2020-04-28 16:12:48.165,0.2064,0.07717083284066803
S2-M42,M-LA-A,2019-06-18 12:55:12.785,0.54349,0.18725445563352597
S2-M42,M-LA-A,2020-10-14 17:30:15.884,0.30331,0.10850497871947516
