,Nombre,diagnostico,Id_Estado_Activo,time,machine
0,S1-Ventilador M2," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S1-M02
299,S1-Ventilador M42," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S1-M42
83,S2-Ventilador M26," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S2-M26
792,S1-Ventilador M8," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S1-M08
784,S1-Ventilador M17," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S1-M17
308,S1-Ventilador Extracción M40," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S1-M40
777,S1-Ventilador M3," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S1-M03
767,S1-Ventilador M20," Motor: Activo en buen estado. Se detectan indicios de unas condiciones desfavorables de alineación. No se descarta que una tensión no apropiada de las correas esté afectando en la medida.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S1-M20
316,S1-Ventilador Extracción M37, Conjunto: Se detectan indicios de unas condiciones desfavorables de alineación de poleas.,2.0,2018-01-23,S1-M37
156,S2-Ventilador M9," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S2-M09
752,S1-Ventilador M18," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S1-M18
74,S2-Ventilador M24," Motor: Activo en buen estado. 
 Ventilador: Activo en buen estado. Se detectan indicios de unas condiciones desfavorables de alineación y/o equilibrado. No se descarta que una amplificación estructural esté influyendo en la medida.",1.0,2018-01-23,S2-M24
326,S1-Ventilador Extracción M19," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S1-M19
745,S1-Ventilador M6," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S1-M06
334,S1-Ventilador Extracción M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S1-M01
735,S3-Ventilador M26," Motor: Activo en buen estado. Se detectan indicios de unas condiciones desfavorables de alineación.
 Ventilador: Activo en buen estado. Se detectan indicios de un proceso incipiente de degradación de rodamientos.",1.0,2018-01-23,S3-M26
726,S1-Ventilador M21," Motor: Activo en buen estado. Se detectan indicios de unas condiciones desfavorables de alineación.
 Ventilador: Activo en buen estado. ",1.0,2018-01-23,S1-M21
341,S2-Ventilador M2," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S2-M02
717,S3-Ventilador M29," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S3-M29
65,S2-Ventilador M23," Motor: Activo en buen estado. 
 Ventilador: Activo en buen estado. Se detectan indicios de unas condiciones desfavorables de alineación, equilibrado o incorrecta tensión de correas. No se descarta que una amplificación estructural esté influyendo en la medida. Existen indicios de una degradación mecánica de rodamientos.",2.0,2018-01-23,S2-M23
347,S2-Ventilador M3," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S2-M03
709,S3-Ventilador M24," Motor: Activo en buen estad, aunque se detectan indicios de unas condiciones desfavorables de alineación.
 Ventilador: Activo en buen estado.",2.0,2018-01-23,S3-M24
353,S2-Ventilador M6," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S2-M06
700,S3-Ventilador M23," Motor: Activo en buen estado. Se detectan indicios de unas condiciones desfavorables de alineación.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S3-M23
359,S1-Ventilador M23," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S1-M23
692,S3-Ventilador M21," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S3-M21
799,S1-Ventilador M9," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S1-M09
683,S3-Ventilador M20," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S3-M20
807,S1-Ventilador M15," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S1-M15
815,S1-Ventilador M11," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S1-M11
149,S2-Ventilador M38," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S2-M38
162,S2-Ventilador M39," Motor: Activo en buen estado. 
 Ventilador: Activo en buen estado. ",1.0,2018-01-23,S2-M39
169,S2-Ventilador M8," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S2-M08
175,S2-Ventilador M5," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2018-01-23,S2-M05
141,S2-Ventilador M36," Motor: Activo en buen estado.
  Ventilador: Activo en buen estado. Se detectan indicios de unas condiciones desfavorables de alineación, equilibrado o una incorrecta tensión de las correas. No se descarta que una amplificación estructural esté influyendo en la medida",1.0,2018-01-23,S2-M36
