,machine,point,time,max_mms,rms_mms,max_acc,med_acc,rms_acc,kur_acc,cf_acc,num_peaks,a_range,b_range,c_range,d_range,e_range,f_range,g_range,h_range,i_range,j_range,max_dem,rms_dem,Nombre,diagnostico,Id_Estado_Activo,Id_Estado_Activo_fixed
0,S3-M38,M-LOA-H,2019-06-18 12:38:26.205,9.2617,4.066749139571534,0.4694,0.3477288565333852,0.1486274912774475,0.3882277260103817,3.1582313336888435,1.0,0.09968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31838,0.1305967181302859,S3-Ventilador M38," Motor: Activo en buen estado.
 Ventilador: Se detectan indicios de una posible degradación incipiente de los rodamientos del ventilador.  El comportamiento es similar al de la anterior inspección.",2.0,2.0
1,S3-M38,M-LOA-V,2019-06-18 12:38:41.249,6.4828,2.278911232598732,0.43131,0.3492790417403017,0.1472352597598783,0.5793812994706,2.929393412307697,1.0,0.11478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22062,0.1037478089092774,S3-Ventilador M38," Motor: Activo en buen estado.
 Ventilador: Se detectan indicios de una posible degradación incipiente de los rodamientos del ventilador.  El comportamiento es similar al de la anterior inspección.",2.0,2.0
2,S3-M38,M-LA-H,2019-06-18 12:38:57.866,7.4407,2.9779278346103144,0.64757,0.3342213048493982,0.141516185247654,0.3243113569873577,4.575943019286092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53557,0.1681706392004061,S3-Ventilador M38," Motor: Activo en buen estado.
 Ventilador: Se detectan indicios de una posible degradación incipiente de los rodamientos del ventilador.  El comportamiento es similar al de la anterior inspección.",2.0,2.0
3,S3-M38,M-LA-V,2019-06-18 12:39:08.660,6.9886,2.452951843042186,0.72522,0.3391385670362001,0.1463034280626134,0.6002351926206737,4.956958354315715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55888,0.1699401710419603,S3-Ventilador M38," Motor: Activo en buen estado.
 Ventilador: Se detectan indicios de una posible degradación incipiente de los rodamientos del ventilador.  El comportamiento es similar al de la anterior inspección.",2.0,2.0
4,S3-M38,M-LA-A,2019-06-18 12:39:20.397,7.3701,3.351390658090173,0.48182,0.3437620789781202,0.1455650074213699,0.3954304969839088,3.30999880077817,2.0,0.17693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24158,0.0952853482927737,S3-Ventilador M38," Motor: Activo en buen estado.
 Ventilador: Se detectan indicios de una posible degradación incipiente de los rodamientos del ventilador.  El comportamiento es similar al de la anterior inspección.",2.0,2.0
5,S3-M38,V-LA-H,2019-06-18 12:39:31.924,6.5928,2.3442304443737783,3.1537,0.7716681818222869,0.7539484438228529,0.2107591228234353,4.182912009220873,9.0,0.13303,0.0,0.09551,0.27353,0.0,0.32033,0.51335,0.0,0.0,0.0,3.1492,1.341611407350805,S3-Ventilador M38," Motor: Activo en buen estado.
 Ventilador: Se detectan indicios de una posible degradación incipiente de los rodamientos del ventilador.  El comportamiento es similar al de la anterior inspección.",2.0,2.0
6,S3-M38,V-LA-V,2019-06-18 12:39:43.118,6.9445,2.2745959488259726,3.175,0.7933808662001745,0.7888226397152825,0.0320286357925856,4.02498589688803,10.0,0.25924,0.14823,0.0,0.39659,0.13443,0.10869,0.47301,0.0846,0.0,0.0,3.3419,1.3669689382919,S3-Ventilador M38," Motor: Activo en buen estado.
 Ventilador: Se detectan indicios de una posible degradación incipiente de los rodamientos del ventilador.  El comportamiento es similar al de la anterior inspección.",2.0,2.0
7,S3-M38,V-LOA-H,2019-06-18 12:39:57.286,3.4924,1.0653320933396604,2.9403,0.737369834249366,0.6805432831365525,0.027411267426936,4.320518727991064,10.0,0.0,0.0,0.09921,0.10433,0.09064,0.3016999999999999,0.49642,0.13036,0.0,0.0,2.7062,1.2209495690632672,S3-Ventilador M38," Motor: Activo en buen estado.
 Ventilador: Se detectan indicios de una posible degradación incipiente de los rodamientos del ventilador.  El comportamiento es similar al de la anterior inspección.",2.0,2.0
8,S3-M38,V-LOA-V,2019-06-18 12:40:08.355,8.7546,3.245024511736567,2.699,0.6882880972098401,0.5940009590578037,0.0286064328135404,4.543763707521815,6.0,0.2253,0.1118,0.0,0.08969,0.0,0.09676,0.28788,0.0,0.0,0.0,2.3101,1.0398982846511209,S3-Ventilador M38," Motor: Activo en buen estado.
 Ventilador: Se detectan indicios de una posible degradación incipiente de los rodamientos del ventilador.  El comportamiento es similar al de la anterior inspección.",2.0,2.0
9,S3-M38,V-LOA-A,2019-06-18 12:40:19.785,6.1928,2.454975656278349,1.4509,0.5287766891489305,0.3502143121079127,0.0254005680532971,4.142891794647528,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08678,0.0,0.0,1.3929,0.6343539848117772,S3-Ventilador M38," Motor: Activo en buen estado.
 Ventilador: Se detectan indicios de una posible degradación incipiente de los rodamientos del ventilador.  El comportamiento es similar al de la anterior inspección.",2.0,2.0
