// user:DESKTOP-0HM15HR_628165; date:2020-02-11 10:02:56.433; sample:8192; 
time[ms]; amplitude[g]; 
0.0; -0.01333; 
0.06104; 0.02847; 
0.12207; 0.05585; 
0.18311; 0.07309; 
0.24414; 0.07005; 
0.30518; 0.05059; 
0.36621; 0.05023; 
0.42725; 0.05973; 
0.48828; 0.06526; 
0.54932; 0.09614; 
0.61035; 0.15107; 
0.67139; 0.22647; 
0.73242; 0.29382; 
0.79346; 0.32299; 
0.85449; 0.34174; 
0.91553; 0.32842; 
0.97656; 0.28829; 
1.0376; 0.24964; 
1.0986; 0.15508; 
1.1597; 0.01451; 
1.2207; -0.12326; 
1.2817; -0.23508; 
1.3428; -0.30309; 
1.4038; -0.35709; 
1.4648; -0.35185; 
1.5259; -0.27785; 
1.5869; -0.22341; 
1.6479; -0.16027; 
1.709; -0.08291; 
1.77; -0.02744; 
1.8311; 0.03802; 
1.8921; 0.09852; 
1.9531; 0.15476; 
2.0142; 0.19908; 
2.0752; 0.19978; 
2.1362; 0.20393; 
2.1973; 0.20353; 
2.2583; 0.16272; 
2.3193; 0.10731; 
2.3804; 0.0381; 
2.4414; -0.03027; 
2.5024; -0.06465; 
2.5635; -0.07079; 
2.6245; -0.08404; 
2.6855; -0.11722; 
2.7466; -0.13014; 
2.8076; -0.11993; 
2.8687; -0.11799; 
2.9297; -0.12772; 
2.9907; -0.13894; 
3.0518; -0.12318; 
3.1128; -0.08903; 
3.1738; -0.05887; 
3.2349; -0.00356; 
3.2959; 0.08215; 
3.3569; 0.16949; 
3.418; 0.24845; 
3.479; 0.31907; 
3.54; 0.34248; 
3.6011; 0.29763; 
3.6621; 0.24217; 
3.7231; 0.18682; 
3.7842; 0.09756; 
3.8452; -0.01811; 
3.9063; -0.10798; 
3.9673; -0.12388; 
4.0283; -0.10323; 
4.0894; -0.04756; 
4.1504; 0.04215; 
4.2114; 0.09075; 
4.2725; 0.13075; 
4.3335; 0.16078; 
4.3945; 0.12361; 
4.4556; 0.06992; 
4.5166; 0.01238; 
4.5776; -0.03689; 
4.6387; -0.04215; 
4.6997; -0.02405; 
4.7607; 0.01684; 
4.8218; 0.08572; 
4.8828; 0.17757; 
4.9438; 0.256; 
5.0049; 0.29682; 
5.0659; 0.33852; 
5.127; 0.3655; 
5.188; 0.33406; 
5.249; 0.2473; 
5.3101; 0.14816; 
5.3711; 0.06271; 
5.4321; -0.01998; 
5.4932; -0.06466; 
5.5542; -0.06462; 
5.6152; -0.01813; 
5.6763; 0.1022; 
5.7373; 0.23208; 
5.7983; 0.34307; 
5.8594; 0.43582; 
5.9204; 0.47898; 
5.9814; 0.4908; 
6.0425; 0.45632; 
6.1035; 0.37966; 
6.1646; 0.31235; 
6.2256; 0.26903; 
6.2866; 0.24906; 
6.3477; 0.21265; 
6.4087; 0.16668; 
6.4697; 0.16955; 
6.5308; 0.18986; 
6.5918; 0.18708; 
6.6528; 0.18103; 
6.7139; 0.17917; 
6.7749; 0.17917; 
6.8359; 0.20927; 
6.897; 0.26345; 
6.958; 0.28688; 
7.019; 0.31305; 
7.0801; 0.39557; 
7.1411; 0.44627; 
7.2021; 0.4003; 
7.2632; 0.32603; 
7.3242; 0.23699; 
7.3853; 0.10716; 
7.4463; 0.00986; 
7.5073; -0.01042; 
7.5684; -0.00358; 
7.6294; 0.01545; 
7.6904; 0.08106; 
7.7515; 0.17287; 
7.8125; 0.23352; 
7.8735; 0.29926; 
7.9346; 0.3805; 
7.9956; 0.36605; 
8.0566; 0.26835; 
8.1177; 0.18676; 
8.1787; 0.11342; 
8.2397; 0.05432; 
8.3008; 0.03463; 
8.3618; 0.04185; 
8.4229; 0.09844; 
8.4839; 0.20528; 
8.5449; 0.32671; 
8.606; 0.42396; 
8.667; 0.44815; 
8.728; 0.41638; 
8.7891; 0.34251; 
8.8501; 0.20183; 
8.9111; 0.04485; 
8.9722; -0.07481; 
9.0332; -0.10975; 
9.0942; -0.04514; 
9.1553; 0.03199; 
9.2163; 0.10816; 
9.2773; 0.1959; 
9.3384; 0.24879; 
9.3994; 0.26397; 
9.4604; 0.21222; 
9.5215; 0.09209; 
9.5825; -0.01877; 
9.6436; -0.08843; 
9.7046; -0.13196; 
9.7656; -0.15236; 
9.8267; -0.1101; 
9.8877; -0.00496; 
9.9487; 0.10186; 
10.01; 0.19446; 
10.071; 0.27472; 
10.132; 0.30836; 
10.193; 0.27693; 
10.254; 0.22101; 
10.315; 0.14715; 
10.376; 0.07067; 
10.437; 0.09558; 
10.498; 0.19864; 
10.559; 0.31326; 
10.62; 0.49204; 
10.681; 0.70979; 
10.742; 0.88151; 
10.803; 0.98689; 
10.864; 1.0461; 
10.925; 1.0192; 
10.986; 0.87771; 
11.047; 0.74331; 
11.108; 0.64604; 
11.169; 0.54758; 
11.23; 0.52556; 
11.292; 0.58418; 
11.353; 0.6728; 
11.414; 0.7688; 
11.475; 0.8706; 
11.536; 0.95538; 
11.597; 0.92406; 
11.658; 0.80597; 
11.719; 0.65231; 
11.78; 0.4125; 
11.841; 0.19515; 
11.902; 0.08802; 
11.963; 0.03652; 
12.024; 0.074; 
12.085; 0.21612; 
12.146; 0.38827; 
12.207; 0.50733; 
12.268; 0.51444; 
12.329; 0.43019; 
12.39; 0.25951; 
12.451; 0.01041; 
12.512; -0.22622; 
12.573; -0.42477; 
12.634; -0.53921; 
12.695; -0.47866; 
12.756; -0.32904; 
12.817; -0.16757; 
12.878; 0.0247; 
12.939; 0.19294; 
13; 0.30141; 
13.062; 0.33551; 
13.123; 0.27686; 
13.184; 0.14448; 
13.245; -0.02291; 
13.306; -0.14473; 
13.367; -0.2378; 
13.428; -0.34354; 
13.489; -0.34866; 
13.55; -0.20048; 
13.611; 0.05014; 
13.672; 0.33935; 
13.733; 0.58078; 
13.794; 0.73199; 
13.855; 0.75095; 
13.916; 0.61221; 
13.977; 0.36758; 
14.038; 0.09348; 
14.099; -0.13274; 
14.16; -0.25948; 
14.221; -0.25421; 
14.282; -0.11648; 
14.343; 0.1072; 
14.404; 0.34551; 
14.465; 0.50606; 
14.526; 0.56264; 
14.587; 0.51905; 
14.648; 0.33767; 
14.709; 0.03704; 
14.771; -0.30372; 
14.832; -0.57176; 
14.893; -0.69681; 
14.954; -0.70988; 
15.015; -0.62437; 
15.076; -0.45565; 
15.137; -0.25301; 
15.198; -0.05759; 
15.259; 0.06564; 
15.32; 0.06935; 
15.381; -0.04703; 
15.442; -0.22605; 
15.503; -0.40921; 
15.564; -0.58504; 
15.625; -0.67775; 
15.686; -0.63434; 
15.747; -0.49693; 
15.808; -0.28909; 
15.869; -0.04207; 
15.93; 0.16416; 
15.991; 0.23682; 
16.052; 0.1628; 
16.113; -0.03408; 
16.174; -0.34552; 
16.235; -0.63037; 
16.296; -0.75086; 
16.357; -0.73764; 
16.418; -0.63626; 
16.479; -0.42188; 
16.541; -0.11707; 
16.602; 0.09928; 
16.663; 0.13848; 
16.724; 0.0794; 
16.785; -0.05195; 
16.846; -0.21041; 
16.907; -0.36713; 
16.968; -0.49258; 
17.029; -0.4846; 
17.09; -0.37492; 
17.151; -0.22474; 
17.212; -0.08102; 
17.273; -0.03377; 
17.334; -0.05733; 
17.395; -0.13988; 
17.456; -0.29584; 
17.517; -0.4869; 
17.578; -0.69062; 
17.639; -0.8174; 
17.7; -0.823; 
17.761; -0.78383; 
17.822; -0.74551; 
17.883; -0.68491; 
17.944; -0.55778; 
18.005; -0.42063; 
18.066; -0.36143; 
18.127; -0.34797; 
18.188; -0.33583; 
18.25; -0.34662; 
18.311; -0.40732; 
18.372; -0.50428; 
18.433; -0.60103; 
18.494; -0.66788; 
18.555; -0.71325; 
18.616; -0.76586; 
18.677; -0.7863; 
18.738; -0.74445; 
18.799; -0.67953; 
18.86; -0.60975; 
18.921; -0.54086; 
18.982; -0.47928; 
19.043; -0.43369; 
19.104; -0.40983; 
19.165; -0.38448; 
19.226; -0.34785; 
19.287; -0.30385; 
19.348; -0.26451; 
19.409; -0.22493; 
19.47; -0.16897; 
19.531; -0.14884; 
19.592; -0.17063; 
19.653; -0.16894; 
19.714; -0.16239; 
19.775; -0.2019; 
19.836; -0.27523; 
19.897; -0.3254; 
19.958; -0.36005; 
20.02; -0.4324; 
20.081; -0.49011; 
20.142; -0.49304; 
20.203; -0.47284; 
20.264; -0.44696; 
20.325; -0.43592; 
20.386; -0.40018; 
20.447; -0.33689; 
20.508; -0.31343; 
20.569; -0.29429; 
20.63; -0.25683; 
20.691; -0.21581; 
20.752; -0.15461; 
20.813; -0.10213; 
20.874; -0.04443; 
20.935; 0.02889; 
20.996; 0.07888; 
21.057; 0.13635; 
21.118; 0.18924; 
21.179; 0.20199; 
21.24; 0.20221; 
21.301; 0.16474; 
21.362; 0.09966; 
21.423; 0.07783; 
21.484; 0.08326; 
21.545; 0.07618; 
21.606; 0.07864; 
21.667; 0.13374; 
21.729; 0.2043; 
21.79; 0.22299; 
21.851; 0.23872; 
21.912; 0.25382; 
21.973; 0.20317; 
22.034; 0.14594; 
22.095; 0.11574; 
22.156; 0.08646; 
22.217; 0.05486; 
22.278; -0.00442; 
22.339; -0.02814; 
22.4; 0.01586; 
22.461; 0.03087; 
22.522; 0.00326; 
22.583; -0.05174; 
22.644; -0.13081; 
22.705; -0.2083; 
22.766; -0.29717; 
22.827; -0.36888; 
22.888; -0.42234; 
22.949; -0.49932; 
23.01; -0.55077; 
23.071; -0.54899; 
23.132; -0.53936; 
23.193; -0.5576; 
23.254; -0.57807; 
23.315; -0.55817; 
23.376; -0.55173; 
23.438; -0.57546; 
23.499; -0.55995; 
23.56; -0.50847; 
23.621; -0.4433; 
23.682; -0.3682; 
23.743; -0.28912; 
23.804; -0.19718; 
23.865; -0.10172; 
23.926; 0.00434; 
23.987; 0.1019; 
24.048; 0.16424; 
24.109; 0.24215; 
24.17; 0.3101; 
24.231; 0.29945; 
24.292; 0.25313; 
24.353; 0.22331; 
24.414; 0.19411; 
24.475; 0.12917; 
24.536; 0.07358; 
