machine,point,time,max_mms,rms_mms
S4-61-M1,V-LOA-H,2021-04-07 10:33:51.075,6.8111,2.9133788952808257
S4-61-M1,V-LOA-H,2020-10-13 16:36:35.662,7.6774,3.177375747650434
S4-61-M1,V-LOA-H,2019-10-15 17:36:40.675,6.7821,2.970641401463498
S5-70-M1,M-LA-V,2019-10-15 16:45:17.472,4.3481,1.8197112138231966
S5-70-M1,M-LA-V,2021-04-07 11:30:32.545,2.822,0.961427633840305
S5-70-M1,M-LA-V,2020-10-15 09:51:20.794,2.7459,0.8755128237804702
S3-M39,M-LOA-V,2021-04-06 11:33:08.096,8.3684,3.4942704879074005
S3-M39,M-LOA-V,2019-07-16 12:09:16.407,7.8705,3.019071934048985
S3-M39,M-LOA-V,2020-02-11 12:56:27.964,9.8775,3.6145139939956223
S3-M39,M-LOA-V,2020-07-09 11:15:08.144,9.8969,3.9664984342452065
S3-M39,M-LOA-V,2020-10-14 08:54:35.825,8.341,3.7068382319276485
S3-M39,M-LOA-V,2020-04-28 17:22:26.974,126.47,27.29380935652611
S2-M11,V-LOA-A,2020-02-11 10:20:25.524,15.008,2.4033750912019256
S2-M11,V-LOA-A,2020-10-14 16:49:41.234,5.7515,2.5755728734181265
S2-M11,V-LOA-A,2019-07-16 10:01:00.325,4.2206,1.5455842976996288
S2-M11,V-LOA-A,2021-04-06 12:11:58.144,6.5487,3.135443663949447
S2-M11,V-LOA-A,2020-04-28 15:34:29.634,5.0123,1.8328627607720194
S1-M11,M-LOA-V,2020-07-09 08:16:47.283,3.3318,1.258585728426893
S1-M11,M-LOA-V,2021-04-06 15:58:03.250,3.6957,1.3716182444969214
S1-M11,M-LOA-V,2020-02-11 08:48:06.683,7.3809,3.8316214940279014
S1-M11,M-LOA-V,2020-04-28 09:43:47.754,4.26,1.9366224382671193
S1-M11,M-LOA-V,2019-07-16 09:55:25.665,6.5004,2.720835427665391
S1-M11,M-LOA-V,2020-10-14 11:18:13.422,4.4048,1.5510227273673045
S4-61-M1,V-LOA-V,2021-04-07 10:34:00.844,13.961,6.7587383974978925
S4-61-M1,V-LOA-V,2019-10-15 17:36:53.524,7.0053,2.8967988174209056
S4-61-M1,V-LOA-V,2020-10-13 16:36:46.741,11.465,5.1959921826564255
S5-70-M1,V-LOA-V,2019-10-15 16:46:14.761,3.0592,1.0000880801911916
S5-70-M1,V-LOA-V,2021-04-07 11:31:23.204,2.7699,0.8366925269756795
S5-70-M1,V-LOA-V,2020-10-15 09:52:08.982,2.6619,0.8168741560199112
S2-M11,M-LA-A,2021-04-06 12:11:08.044,6.2139,2.522175826631407
S2-M11,M-LA-A,2019-07-16 09:59:59.874,6.648,2.542601881425788
S2-M11,M-LA-A,2020-04-28 15:33:33.704,4.1608,1.58500916072203
S2-M11,M-LA-A,2020-02-11 10:19:32.855,5.567,1.9127726875166755
S2-M11,M-LA-A,2020-10-14 16:48:47.014,4.2701,1.5925791315512285
S5-70-M1,M-LA-A,2021-04-07 11:30:40.303,3.6979,1.3469265900358418
S5-70-M1,M-LA-A,2019-10-15 16:45:27.661,4.0404,1.4279621894880634
S5-70-M1,M-LA-A,2020-10-15 09:51:30.493,3.2089,1.1178244954736118
S4-61-M1,V-LA-V,2021-04-07 10:33:38.875,11.831,5.944605215741022
S4-61-M1,V-LA-V,2020-10-13 16:36:23.232,18.645,9.905802518373937
S4-61-M1,V-LA-V,2019-10-15 17:36:21.739,15.206,7.850865173189118
S3-M39,V-LOA-V,2020-07-09 11:16:13.118,6.5841,1.9454445159831772
S3-M39,V-LOA-V,2020-02-11 12:57:46.738,8.1774,2.4958310137652275
S3-M39,V-LOA-V,2021-04-06 11:34:27.413,5.9387,1.8474232362367193
S3-M39,V-LOA-V,2020-04-28 17:24:30.183,14.819,4.710935586617118
S3-M39,V-LOA-V,2020-10-14 08:55:45.484,7.1972,1.8572092811569008
S3-M39,V-LOA-V,2019-07-16 12:10:35.925,9.128,2.79259756607828
S1-M11,V-LA-V,2019-07-16 09:56:29.000,8.7135,3.698633538440099
S1-M11,V-LA-V,2020-04-28 09:44:48.804,4.3584,1.5233700988789614
S1-M11,V-LA-V,2020-02-11 08:49:09.124,6.1822,2.736611437185948
S1-M11,V-LA-V,2020-10-14 11:19:04.206,4.8102,1.7284064471449212
S1-M11,V-LA-V,2021-04-06 15:59:12.510,4.3028,1.1963022099455394
S1-M11,V-LA-V,2020-07-09 08:17:36.744,5.2289,2.145133343487104
S4-61-M1,M-LA-H,2020-10-13 16:35:35.491,12.672,5.128815595665173
S4-61-M1,M-LA-H,2021-04-07 10:32:58.583,10.771,3.909067062893024
S4-61-M1,M-LA-H,2019-10-15 17:35:31.856,8.9101,3.3022524740539203
