Description,Zona_adash,Equipo_adash,Equipo_home,Planta_home,Zona_home,KKS_TERMO
Cosentino,Zona 2 S-1,S1-M02,S1-Ventilador M02,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M02,S1-Ventilador M2,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M03,S1-Ventilador M3,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M05,S1-Ventilador M5,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M06,S1-Ventilador M6,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M08,S1-Ventilador M8,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M09,S1-Ventilador M9,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M11,S1-Ventilador M11,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M12,S1-Ventilador M12,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M14,S1-Ventilador M14,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M15,S1-Ventilador M15,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M17,S1-Ventilador M17,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M18,S1-Ventilador M18,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M20,S1-Ventilador M20,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M21,S1-Ventilador M21,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M23,S1-Ventilador M23,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M24,S1-Ventilador M24,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M26,S1-Ventilador M26,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M27,S1-Ventilador M27,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M29,S1-Ventilador M29,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M30,S1-Ventilador M30,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M32,S1-Ventilador M32,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M33,S1-Ventilador M33,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M35,S1-Ventilador M35,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M36,S1-Ventilador M36,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M38,S1-Ventilador M38,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M39,S1-Ventilador M39,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M41,S1-Ventilador M41,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M42,S1-Ventilador M42,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M40,S1-Ventilador Extracción M40,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M37,S1-Ventilador Extracción M37,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M19,S1-Ventilador Extracción M19,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-1,S1-M01,S1-Ventilador Extracción M1,Dekton,ZONA 2 A SECADOR 1,COS
Cosentino,Zona 2 S-3,S3-M02,S3-Ventilador M2,Dekton,ZONA 2 A SECADOR 3,COS
Cosentino,Zona 2 S-3,S3-M03,S3-Ventilador M3,Dekton,ZONA 2 A SECADOR 3,COS
Cosentino,Zona 2 S-3,S3-M05,S3-Ventilador M5,Dekton,ZONA 2 A SECADOR 3,COS
Cosentino,Zona 2 S-3,S3-M06,S3-Ventilador M6,Dekton,ZONA 2 A SECADOR 3,COS
Cosentino,Zona 2 S-3,S3-M08,S3-Ventilador M8,Dekton,ZONA 2 A SECADOR 3,COS
Cosentino,Zona 2 S-3,S3-M09,S3-Ventilador M9,Dekton,ZONA 2 A SECADOR 3,COS
Cosentino,Zona 2 S-3,S3-M11,S3-Ventilador M11,Dekton,ZONA 2 A SECADOR 3,COS
Cosentino,Zona 2 S-3,S3-M12,S3-Ventilador M12,Dekton,ZONA 2 A SECADOR 3,COS
Cosentino,Zona 2 S-3,S3-M14,S3-Ventilador M14,Dekton,ZONA 2 A SECADOR 3,COS
Cosentino,Zona 2 S-3,S3-M15,S3-Ventilador M15,Dekton,ZONA 2 A SECADOR 3,COS
Cosentino,Zona 2 S-3,S3-M17,S3-Ventilador M17,Dekton,ZONA 2 A SECADOR 3,COS
Cosentino,Zona 2 S-3,S3-M18,S3-Ventilador M18,Dekton,ZONA 2 A SECADOR 3,COS
Cosentino,Zona 2 S-3,S3-M20,S3-Ventilador M20,Dekton,ZONA 2 A SECADOR 3,COS
Cosentino,Zona 2 S-3,S3-M21,S3-Ventilador M21,Dekton,ZONA 2 A SECADOR 3,COS
Cosentino,Zona 2 S-3,S3-M23,S3-Ventilador M23,Dekton,ZONA 2 A SECADOR 3,COS
Cosentino,Zona 2 S-3,S3-M24,S3-Ventilador M24,Dekton,ZONA 2 A SECADOR 3,COS
Cosentino,Zona 2 S-3,S3-M26,S3-Ventilador M26,Dekton,ZONA 2 A SECADOR 3,COS
