Maquina;EXTRACCION;VARIADOR;POSICION;ALTA VIB;RELACION;VELM;VELV
S1-M2;0;;1;0;1,71;13;22,2817215641732
S1-M3;0;;2;0;1,71;14,5;24,8526894369625
S1-M5;0;;3;0;1,71;14,5;24,8526894369625
S1-M6;0;;4;0;1,71;14,5;24,8526894369625
S1-M8;0;;5;0;1,71;16,5;28,2806466006814
S1-M9;0;;6;0;1,71;16,5;28,2806466006814
S1-M11;0;;7;0;1,71;15,37;26,3438508031802
S1-M12;0;;8;1;1,71;15,41;26,4124099464546
S1-M14;0;;9;0;1,71;16,13;27,6464745253934
S1-M15;0;;10;0;1,71;16,13;27,6464745253934
S1-M17;0;;11;0;1,71;15,06;25,8125174428038
S1-M18;0;;12;0;1,71;15,22;26,0867540159013
S1-M20;0;;13;0;1,71;25,49;43,6893140515981
S1-M21;0;;14;1;1,71;24,78;42,4723892584779
S1-M23;0;;15;0;1,71;24,68;42,300991400292
S1-M24;0;;16;0;1,71;24,78;42,4723892584779
S1-M26;0;;17;1;1,71;24,86;42,6095075450267
S1-M27;0;;18;1;1,71;24,58;42,129593542106
S1-M29;0;;19;1;1,71;24,69;42,3181311861106
S1-M30;0;;20;1;1,71;24,79;42,4895290442965
S1-M32;0;;21;0;1,71;24,87;42,6266473308453
S1-M33;0;;22;1;1,71;24,87;42,6266473308453
S1-M35;0;;23;1;1,71;24,79;42,4895290442965
S1-M36;0;;24;1;1,71;24,68;42,300991400292
S1-M38;0;;25;1;1,71;24,82;42,5409484017523
S1-M39;0;;26;0;1,71;24,51;42,0096150413759
S1-M41;0;;27;0;1,71;16,2;27,7664530261236
S1-M42;0;;28;0;1,71;16,12;27,6293347395748
S1-M40;1;;29;0;1,34;21,36;28,6224
S1-M37;1;;30;1;1,34;21,36;28,6224
S1-M19;1;;31;1;1,71;24,57;42,0147
S1-M1;1;;32;1;1,71;24,57;42,0147
