machine,point,time,num_peaks,a_range,b_range,c_range,d_range,e_range,f_range,g_range,h_range,i_range,j_range
S1-M01,M-LA-A,2020-10-14 12:06:18.684,2.0,0.23937,0.08237,0,0,0,0,0,0,0,0
S1-M01,M-LA-A,2020-02-11 10:03:50.983,3.0,0.34797,0.22611,0,0,0,0,0,0,0,0
S1-M01,M-LA-A,2020-02-11 10:04:03.947,1.0,0.10298,0.0,0,0,0,0,0,0,0,0
S1-M01,M-LA-A,2020-04-28 10:45:38.925,2.0,0.24237,0.14827,0,0,0,0,0,0,0,0
S1-M01,M-LA-A,2020-07-09 09:05:29.533,3.0,0.38997,0.27292,0,0,0,0,0,0,0,0
S1-M01,M-LA-A,2021-04-06 16:52:33.142,1.0,0.25757,0.0,0,0,0,0,0,0,0,0
S2-M11,M-LA-A,2019-07-16 09:59:59.874,3.0,0,0,0.37229,0.08449,0,0,0,0,0,0
S2-M11,M-LA-A,2020-10-14 16:48:47.014,0.0,0,0,0.0,0.0,0,0,0,0,0,0
S2-M11,M-LA-A,2020-02-11 10:19:32.855,0.0,0,0,0.0,0.0,0,0,0,0,0,0
S2-M11,M-LA-A,2020-04-28 15:33:33.704,0.0,0,0,0.0,0.0,0,0,0,0,0,0
S2-M11,M-LA-A,2021-04-06 12:11:08.044,0.0,0,0,0.0,0.0,0,0,0,0,0,0
S1-M01,M-LA-H,2019-07-16 11:07:48.866,1.0,0.12799,0.0,0,0,0,0,0,0,0,0
S1-M01,M-LA-H,2020-10-14 12:06:00.623,1.0,0.20856,0.0,0,0,0,0,0,0,0,0
S1-M01,M-LA-H,2020-02-11 10:02:56.433,3.0,0.28089,0.0,0.09047,0,0,0,0,0,0,0
S1-M01,M-LA-H,2020-04-28 10:45:17.614,2.0,0.17537,0.0,0.08225,0,0,0,0,0,0,0
S1-M01,M-LA-H,2020-07-09 09:05:12.684,2.0,0.0,0.17704,0,0,0,0,0,0,0,0
S1-M01,M-LA-H,2021-04-06 16:52:17.042,1.0,0.18275,0.0,0,0,0,0,0,0,0,0
S2-M11,M-LA-H,2019-07-16 09:59:33.865,1.0,0,0,0.58102,0.0,0,0,0,0,0,0
S2-M11,M-LA-H,2020-10-14 16:48:26.594,0.0,0,0,0.0,0.0,0,0,0,0,0,0
S2-M11,M-LA-H,2020-02-11 10:19:10.493,0.0,0,0,0.0,0.0,0,0,0,0,0,0
S2-M11,M-LA-H,2020-04-28 15:33:16.704,0.0,0,0,0.0,0.0,0,0,0,0,0,0
S2-M11,M-LA-H,2021-04-06 12:10:49.014,0.0,0,0,0.0,0.0,0,0,0,0,0,0
S3-M20,M-LA-A,2019-11-26 17:22:45.546,1.0,0.26683,0,0,0,0,0,0,0,0,0
S3-M20,M-LA-A,2019-07-16 12:15:10.454,0.0,0.0,0,0,0,0,0,0,0,0,0
S3-M20,M-LA-A,2020-10-14 08:31:30.764,1.0,0.17998,0,0,0,0,0,0,0,0,0
S3-M20,M-LA-A,2020-02-11 12:31:55.763,1.0,0.14825,0,0,0,0,0,0,0,0,0
S3-M20,M-LA-A,2020-04-28 16:52:01.974,1.0,0.18435,0,0,0,0,0,0,0,0,0
S3-M20,M-LA-A,2020-07-09 10:53:29.754,1.0,0.24339,0,0,0,0,0,0,0,0,0
S3-M20,M-LA-A,2021-04-06 11:07:13.663,1.0,0.13706,0,0,0,0,0,0,0,0,0
S4-74-M1,M-LA-A,2019-10-15 17:04:44.125,1.0,0.61068,0,0,0,0,0,0,0,0,0
S4-74-M1,M-LA-A,2020-10-13 16:06:11.111,1.0,0.56923,0,0,0,0,0,0,0,0,0
S4-74-M1,M-LA-A,2021-04-07 10:04:33.038,1.0,0.61876,0,0,0,0,0,0,0,0,0
S1-M01,M-LA-V,2019-07-16 11:08:01.086,2.0,0.19963,0.0,0.08218,0,0,0,0,0,0,0
S1-M01,M-LA-V,2020-10-14 12:06:08.758,1.0,0.19281,0.0,0.0,0,0,0,0,0,0,0
S1-M01,M-LA-V,2020-02-11 10:03:06.084,2.0,0.21626,0.0,0.10541,0,0,0,0,0,0,0
S1-M01,M-LA-V,2020-04-28 10:45:29.195,2.0,0.23739,0.0,0.10813,0,0,0,0,0,0,0
S1-M01,M-LA-V,2020-07-09 09:05:20.485,2.0,0.25411,0.0,0.09075,0,0,0,0,0,0,0
S1-M01,M-LA-V,2021-04-06 16:52:24.800,1.0,0.1889,0.0,0.0,0,0,0,0,0,0,0
S5-77-M1,M-LA-A,2019-10-15 17:12:40.932,0.0,0,0,0,0,0,0,0,0,0,0
S5-77-M1,M-LA-A,2020-10-15 10:16:52.174,0.0,0,0,0,0,0,0,0,0,0,0
S5-77-M1,M-LA-A,2021-04-07 11:57:24.884,0.0,0,0,0,0,0,0,0,0,0,0
S2-M11,M-LA-V,2019-07-16 09:59:46.155,4.0,0,0,0.45889,0.24165,0.10888,0,0,0,0,0
S2-M11,M-LA-V,2020-10-14 16:48:36.374,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0
S2-M11,M-LA-V,2020-02-11 10:19:22.293,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0
S2-M11,M-LA-V,2020-04-28 15:33:25.564,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0
S2-M11,M-LA-V,2021-04-06 12:10:59.364,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0
S4-74-M1,M-LA-H,2019-10-15 17:04:22.085,1.0,0.26079,0,0,0,0,0,0,0,0,0
S4-74-M1,M-LA-H,2020-10-13 16:05:50.912,1.0,0.25159,0,0,0,0,0,0,0,0,0
S4-74-M1,M-LA-H,2021-04-07 10:04:16.324,1.0,0.25728,0,0,0,0,0,0,0,0,0
S5-77-M1,M-LA-H,2019-10-15 17:12:20.192,0.0,0,0,0,0,0,0,0,0,0,0
S5-77-M1,M-LA-H,2020-10-15 10:16:33.585,0.0,0,0,0,0,0,0,0,0,0,0
S5-77-M1,M-LA-H,2021-04-07 11:57:05.395,0.0,0,0,0,0,0,0,0,0,0,0
S3-M20,M-LA-H,2019-11-26 17:22:20.840,1.0,0.11761,0,0,0,0,0,0,0,0,0
S3-M20,M-LA-H,2019-07-16 12:14:47.264,1.0,0.15923,0,0,0,0,0,0,0,0,0
S3-M20,M-LA-H,2020-10-14 08:31:09.175,2.0,0.18778,0,0,0,0,0,0,0,0,0
S3-M20,M-LA-H,2020-02-11 12:31:36.116,2.0,0.25029,0,0,0,0,0,0,0,0,0
S3-M20,M-LA-H,2020-04-28 16:51:41.275,1.0,0.12267,0,0,0,0,0,0,0,0,0
S3-M20,M-LA-H,2020-07-09 10:53:09.023,1.0,0.1311,0,0,0,0,0,0,0,0,0
S3-M20,M-LA-H,2021-04-06 11:06:54.294,2.0,0.20740999999999998,0,0,0,0,0,0,0,0,0
S4-74-M1,M-LA-V,2019-10-15 17:04:31.885,1.0,0.34528,0,0,0,0,0,0,0,0,0
S4-74-M1,M-LA-V,2020-10-13 16:06:00.030,1.0,0.32054,0,0,0,0,0,0,0,0,0
S4-74-M1,M-LA-V,2021-04-07 10:04:25.474,1.0,0.33301,0,0,0,0,0,0,0,0,0
S1-M01,M-LOA-H,2019-07-16 11:07:25.984,5.0,0.12705,0.22266,0.19746,0,0,0,0,0,0,0
S1-M01,M-LOA-H,2020-10-14 12:05:36.453,5.0,0.21846,0.17136,0.16651,0,0,0,0,0,0,0
S1-M01,M-LOA-H,2020-02-11 10:02:35.194,3.0,0.18639,0.19799,0.0,0,0,0,0,0,0,0
S1-M01,M-LOA-H,2020-04-28 10:44:53.804,2.0,0.11027,0.32184,0.0,0,0,0,0,0,0,0
S1-M01,M-LOA-H,2020-07-09 09:04:53.554,2.0,0.19402,0.08142,0.0,0,0,0,0,0,0,0
S1-M01,M-LOA-H,2021-04-06 16:52:00.005,4.0,0.165,0.0833,0.30306,0,0,0,0,0,0,0
S2-M11,M-LOA-H,2019-07-16 09:59:08.986,1.0,0,0,0.17591,0.0,0.0,0,0,0,0,0
S2-M11,M-LOA-H,2020-10-14 16:48:04.955,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0
S2-M11,M-LOA-H,2020-02-11 10:18:49.905,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0
S2-M11,M-LOA-H,2020-04-28 15:32:56.060,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0
S2-M11,M-LOA-H,2021-04-06 12:10:27.994,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0
S5-77-M1,M-LA-V,2019-10-15 17:12:29.932,0.0,0,0,0,0,0,0,0,0,0,0
S5-77-M1,M-LA-V,2020-10-15 10:16:41.994,0.0,0,0,0,0,0,0,0,0,0,0
S5-77-M1,M-LA-V,2021-04-07 11:57:16.124,0.0,0,0,0,0,0,0,0,0,0,0
S4-74-M1,M-LOA-H,2019-10-15 17:03:59.935,1.0,0.40329,0,0,0,0,0,0,0,0,0
S4-74-M1,M-LOA-H,2020-10-13 16:05:30.041,1.0,0.39942,0,0,0,0,0,0,0,0,0
S4-74-M1,M-LOA-H,2021-04-07 10:03:57.284,1.0,0.41886,0,0,0,0,0,0,0,0,0
S5-77-M1,M-LOA-H,2019-10-15 17:11:55.601,0.0,0,0,0,0,0,0,0,0,0,0
S5-77-M1,M-LOA-H,2020-10-15 10:16:16.463,0.0,0,0,0,0,0,0,0,0,0,0
S5-77-M1,M-LOA-H,2021-04-07 11:56:45.574,0.0,0,0,0,0,0,0,0,0,0,0
S3-M20,M-LA-V,2019-11-26 17:22:33.413,1.0,0.11456,0,0,0,0,0,0,0,0,0
S3-M20,M-LA-V,2019-07-16 12:14:58.745,1.0,0.12981,0,0,0,0,0,0,0,0,0
S3-M20,M-LA-V,2020-10-14 08:31:19.543,0.0,0.0,0,0,0,0,0,0,0,0,0
S3-M20,M-LA-V,2020-02-11 12:31:46.554,1.0,0.12821,0,0,0,0,0,0,0,0,0
S3-M20,M-LA-V,2020-04-28 16:51:52.091,1.0,0.09811,0,0,0,0,0,0,0,0,0
S3-M20,M-LA-V,2020-07-09 10:53:21.244,1.0,0.0,0.13806,0,0,0,0,0,0,0,0
S3-M20,M-LA-V,2021-04-06 11:07:05.083,1.0,0.0,0.13109,0,0,0,0,0,0,0,0
S4-74-M1,M-LOA-V,2019-10-15 17:04:10.835,1.0,0.14391,0,0,0,0,0,0,0,0,0
S4-74-M1,M-LOA-V,2020-10-13 16:05:40.551,1.0,0.13486,0,0,0,0,0,0,0,0,0
S4-74-M1,M-LOA-V,2021-04-07 10:04:06.534,1.0,0.16176,0,0,0,0,0,0,0,0,0
S1-M01,M-LOA-V,2019-07-16 11:07:37.456,3.0,0.0,0.23799,0.13587,0,0,0,0,0,0,0
