Tree Level 1;Tree Level 2;Tree Level 3;Measurement;Reading;Unit;Date;Time;Alarm
Zona 2 S-1;S1-M2;M-LOA-H;Velocidad - RMS;1,17;mm/s;16/07/2019;9:35:44;Ok
Zona 2 S-1;S1-M2;M-LOA-H;Velocidad - RMS;0,978;mm/s;11/02/2020;8:35:00;Ok
Zona 2 S-1;S1-M2;M-LOA-H;Velocidad - RMS;0,923;mm/s;28/04/2020;9:29:56;Ok
Zona 2 S-1;S1-M2;M-LOA-H;Velocidad - RMS;0,83;mm/s;09/07/2020;8:04:45;Ok
Zona 2 S-1;S1-M2;M-LOA-H;Velocidad - RMS;1,21;mm/s;14/10/2020;11:06:42;Ok
Zona 2 S-1;S1-M2;M-LOA-H;Aceleracion - RMS;0,083;g;16/07/2019;9:35:44;Ok
Zona 2 S-1;S1-M2;M-LOA-H;Aceleracion - RMS;0,073;g;11/02/2020;8:35:00;Ok
Zona 2 S-1;S1-M2;M-LOA-H;Aceleracion - RMS;0,081;g;28/04/2020;9:29:56;Ok
Zona 2 S-1;S1-M2;M-LOA-H;Aceleracion - RMS;0,088;g;09/07/2020;8:04:45;Ok
Zona 2 S-1;S1-M2;M-LOA-H;Aceleracion - RMS;0,082;g;14/10/2020;11:06:42;Ok
Zona 2 S-1;S1-M2;M-LOA-H;Demodulacion - RMS;0,122;g;16/07/2019;9:35:44;-
Zona 2 S-1;S1-M2;M-LOA-H;Demodulacion - RMS;0,114;g;11/02/2020;8:35:00;-
Zona 2 S-1;S1-M2;M-LOA-H;Demodulacion - RMS;0,147;g;28/04/2020;9:29:56;-
Zona 2 S-1;S1-M2;M-LOA-H;Demodulacion - RMS;0,143;g;09/07/2020;8:04:45;-
Zona 2 S-1;S1-M2;M-LOA-H;Demodulacion - RMS;0,127;g;14/10/2020;11:06:42;-
Zona 2 S-1;S1-M2;M-LOA-V;Velocidad - RMS;2,39;mm/s;16/07/2019;9:35:56;Warning
Zona 2 S-1;S1-M2;M-LOA-V;Velocidad - RMS;1,45;mm/s;11/02/2020;8:35:09;Ok
Zona 2 S-1;S1-M2;M-LOA-V;Velocidad - RMS;1,12;mm/s;28/04/2020;9:30:07;Ok
Zona 2 S-1;S1-M2;M-LOA-V;Velocidad - RMS;1,67;mm/s;09/07/2020;8:04:56;Ok
