// user:DESKTOP-0HM15HR_628165; date:2020-10-14 12:06:00.623; sample:8192; 
time[ms]; amplitude[g]; 
0.0; -0.0201; 
0.06104; -0.01241; 
0.12207; 0.04101; 
0.18311; 0.13145; 
0.24414; 0.20743; 
0.30518; 0.26956; 
0.36621; 0.26268; 
0.42725; 0.19758; 
0.48828; 0.09818; 
0.54932; -0.03914; 
0.61035; -0.13468; 
0.67139; -0.1883; 
0.73242; -0.20334; 
0.79346; -0.12541; 
0.85449; -0.00928; 
0.91553; 0.08779; 
0.97656; 0.12933; 
1.0376; 0.09026; 
1.0986; 0.05488; 
1.1597; 0.07107; 
1.2207; 0.08617; 
1.2817; 0.10667; 
1.3428; 0.16744; 
1.4038; 0.19863; 
1.4648; 0.16584; 
1.5259; 0.14869; 
1.5869; 0.15846; 
1.6479; 0.15816; 
1.709; 0.14551; 
1.77; 0.13425; 
1.8311; 0.14566; 
1.8921; 0.15827; 
1.9531; 0.13539; 
2.0142; 0.0659; 
2.0752; 0.02311; 
2.1362; 0.0753; 
2.1973; 0.13483; 
2.2583; 0.1726; 
2.3193; 0.22094; 
2.3804; 0.24368; 
2.4414; 0.23052; 
2.5024; 0.17009; 
2.5635; 0.11964; 
2.6245; 0.10574; 
2.6855; 0.06688; 
2.7466; 0.04598; 
2.8076; 0.01702; 
2.8687; -0.02567; 
2.9297; -0.00954; 
2.9907; -0.01658; 
3.0518; -0.00075; 
3.1128; 0.09573; 
3.1738; 0.13322; 
3.2349; 0.10062; 
3.2959; 0.01649; 
3.3569; -0.07095; 
3.418; -0.06618; 
3.479; -0.05465; 
3.54; -0.06302; 
3.6011; -0.06234; 
3.6621; -0.06316; 
3.7231; -0.02151; 
3.7842; 0.02503; 
3.8452; 0.1006; 
3.9063; 0.20205; 
3.9673; 0.22482; 
4.0283; 0.22106; 
4.0894; 0.16027; 
4.1504; 0.03646; 
4.2114; -0.0906; 
4.2725; -0.31704; 
4.3335; -0.47035; 
4.3945; -0.42176; 
4.4556; -0.34766; 
4.5166; -0.21707; 
4.5776; -0.04263; 
4.6387; 0.08231; 
4.6997; 0.14925; 
4.7607; 0.05942; 
4.8218; -0.10742; 
4.8828; -0.24956; 
4.9438; -0.39943; 
5.0049; -0.44679; 
5.0659; -0.40788; 
5.127; -0.3428; 
5.188; -0.17995; 
5.249; -0.03667; 
5.3101; 0.02328; 
5.3711; 0.04395; 
5.4321; -0.05723; 
5.4932; -0.22156; 
5.5542; -0.35954; 
5.6152; -0.50965; 
5.6763; -0.60784; 
5.7373; -0.58638; 
5.7983; -0.49504; 
5.8594; -0.39626; 
5.9204; -0.31857; 
5.9814; -0.28049; 
6.0425; -0.26972; 
6.1035; -0.25493; 
